Vowel	F1_pt2	F1_mid	F1_pt7	F1_pt8	F2_pt2	F2_mid	F2_pt7	F2_pt8	F3_pt2	F3_mid	F3_pt7	F3_pt8	Filename
aː	327	740	397	1128	854	1459	1786	2193	2549	2436	2563	3075	PRP_across_01.wav
o	601	324	--undefined--	--undefined--	1341	872	--undefined--	--undefined--	2482	2680	--undefined--	--undefined--	PRP_across_01.wav
aː	317	722	522	1877	629	1388	1760	2475	2366	2437	2550	3414	PRP_across_02.wav
o	522	349	--undefined--	--undefined--	1373	893	--undefined--	--undefined--	2613	2392	--undefined--	--undefined--	PRP_across_02.wav
aː	361	772	565	300	1276	1309	1820	1950	2472	2384	3174	2432	PRP_across_03.wav
o	615	407	--undefined--	--undefined--	1404	924	--undefined--	--undefined--	1700	2572	--undefined--	--undefined--	PRP_across_03.wav
ũ 	600	529	501	384	1957	896	2165	1367	3153	2232	3189	2881	P_five_chicken_eggs_02.wav
i	569	307	321	429	2147	1923	1466	2207	3178	2516	2304	3273	P_five_chicken_eggs_02.wav
i	362	273	317	693	838	2179	1746	1857	2392	2821	2709	3039	P_five_chicken_eggs_02.wav
ũː 	402	360	--undefined--	--undefined--	1005	555	--undefined--	--undefined--	2311	2321	--undefined--	--undefined--	P_five_chicken_eggs_02.wav
ũ	1000	537	405	403	2998	1113	1940	1861	4937	2199	2974	3009	P_five_eggs_01.wav
i	538	317	1763	322	902	1722	2384	1012	2205	2348	2700	2480	P_five_eggs_01.wav
i	467	274	409	1053	2050	2014	2319	1521	3186	2715	3160	2890	P_five_eggs_01.wav
ũː	423	326	--undefined--	--undefined--	2237	1114	--undefined--	--undefined--	3205	2295	--undefined--	--undefined--	P_five_eggs_01.wav
ĩːː	334	366	360	653	1128	1331	1736	1673	2453	2577	3008	2849	P_nine_husbands_01.wav
ĩːː	337	343	--undefined--	--undefined--	1229	1500	--undefined--	--undefined--	2396	2438	--undefined--	--undefined--	P_nine_husbands_01.wav
ˈiːː	933	271	204	1337	1630	1535	1634	1992	3105	2657	2605	3309	P_nine_husbands_02.wav
ˈ ĩːː 	283	314	--undefined--	--undefined--	1422	1615	--undefined--	--undefined--	2317	2624	--undefined--	--undefined--	P_nine_husbands_02.wav
i	490	266	436	236	1657	2274	1598	2213	2909	2990	2750	2980	P_that_thin_green_fruit_01.wav
i	486	319	315	293	1747	2234	1224	2188	3102	3051	2352	2916	P_that_thin_green_fruit_01.wav
i ⁱ^̰ 	266	310	372	457	2227	1847	1948	1562	2986	2278	2986	2924	P_that_thin_green_fruit_01.wav
ⁱ^̰ iː	334	243	303	394	1916	2202	1266	1715	2950	2901	2436	2428	P_that_thin_green_fruit_01.wav
ĩːː	423	404	296	469	1738	1807	2249	1510	2687	2567	2677	2626	P_that_thin_green_fruit_01.wav
iː	284	301	--undefined--	--undefined--	2159	2220	--undefined--	--undefined--	2507	2882	--undefined--	--undefined--	P_that_thin_green_fruit_01.wav
a	295	564	--undefined--	--undefined--	2200	1516	--undefined--	--undefined--	2950	2215	--undefined--	--undefined--	P_that_thin_green_fruit_01.wav
ˈaː 	1449	699	624	651	2218	1285	1956	1399	3209	2140	3171	2279	P_the_new_bird_01.wav
ˈaː	509	497	--undefined--	--undefined--	1526	1185	--undefined--	--undefined--	2589	2162	--undefined--	--undefined--	P_the_new_bird_01.wav
ˈaː 	858	717	1037	571	1966	1314	1300	1664	3262	2202	2138	1942	P_the_new_bird_02.wav
ˈaː	723	834	--undefined--	--undefined--	1315	1360	--undefined--	--undefined--	2203	2236	--undefined--	--undefined--	P_the_new_bird_02.wav
a	268	651	432	1828	1718	1392	1815	2581	2625	2321	2756	3573	S_1st_sg_eat_tortillas_01.wav
i	621	301	499	786	1653	2182	1439	1349	2646	2721	2429	2159	S_1st_sg_eat_tortillas_01.wav
aː	478	778	--undefined--	--undefined--	1308	1367	--undefined--	--undefined--	2334	2103	--undefined--	--undefined--	S_1st_sg_eat_tortillas_01.wav
